Project Name,Package Name,Type Name,Method Name,Code Smell
Java-OCA-OCPP,eu.chargetime.ocpp.test,OCPP201MultiProtocolIntegrationTest,setupAndStartCSMS,Magic Number
Java-OCA-OCPP,eu.chargetime.ocpp.test,OCPP201MultiProtocolFakeChargingStation,sendBootNotification,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,OCPP201MultiProtocolFakeChargingStation,sendBootNotification,Missing default
Java-OCA-OCPP,eu.chargetime.ocpp.test,OCPP201MultiProtocolFakeCSMS,OCPP201MultiProtocolFakeCSMS,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,OCPP201MultiProtocolDummyHandlers,createServerProvisioningEventHandler,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,OCPP201MultiProtocolDummyHandlers,createServerProvisioningEventHandler,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,OCPP201MultiProtocolDummyHandlers,createServerProvisioningEventHandler,Magic Number
Java-OCA-OCPP,eu.chargetime.ocpp.test,OCPP201MultiProtocolDummyHandlers,handleBootNotificationRequest,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,OCPP201MultiProtocolDummyHandlers,handleBootNotificationRequest,Magic Number
Java-OCA-OCPP,eu.chargetime.ocpp.test,SOAPTestClient,SOAPTestClient,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,SOAPTestClient,getPort,Magic Number
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,initializeServer,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,initializeServer,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,started,Magic Number
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,started,Magic Number
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,sendRemoteStartTransactionWithProfileRequest,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,sendRemoteStartTransactionWithProfileRequest,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,sendRemoteStartTransactionWithProfileRequest,Magic Number
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,hasReceivedRemoteStartTransactionConfirmation,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,hasReceivedRemoteStopTransactionConfirmation,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,hasReceivedExtendedTriggerMessageConfirmation,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,hasReceivedGetInstalledCertificateIdsConfirmation,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeCentralSystem,hasReceivedSignedUpdateFirmwareConfirmation,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeChargePoint,FakeChargePoint,Long Method
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeChargePoint,FakeChargePoint,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeChargePoint,FakeChargePoint,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeChargePoint,FakeChargePoint,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeChargePoint,FakeChargePoint,Long Statement
Java-OCA-OCPP,eu.chargetime.ocpp.test,FakeChargePoint,FakeChargePoint,Long Statement
